stage,encoder_hidden,depth,dropout,lr,weight_decay,seed,best_val_mse,best_epoch,epochs_ran
A,"(512, 256, 128, 64)",4,0.1,0.003,0.001,0,1.062353789806366,28,53
A,"(512, 256, 128, 64)",4,0.1,0.003,0.0001,0,1.0631993561983109,28,53
A,"(512, 256, 128, 64)",4,0.1,0.003,0.0,0,1.0650895684957504,28,53
A,"(512, 256, 128)",3,0.1,0.001,0.0,0,1.0652503073215485,77,102
A,"(512, 256, 128)",3,0.1,0.001,1e-05,0,1.0652503073215485,77,102
A,"(512, 256, 128, 64)",4,0.1,0.003,1e-05,0,1.0657122433185577,28,53
A,"(512, 256, 128)",3,0.1,0.001,0.0001,0,1.0671014785766602,68,93
A,"(512, 256, 128)",3,0.1,0.001,0.001,0,1.068391814827919,77,102
A,"(512, 256)",2,0.0,0.001,0.0001,0,1.068654552102089,45,70
A,"(512, 256)",2,0.0,0.001,0.001,0,1.068901613354683,45,70
A,"(512, 256)",2,0.0,0.001,1e-05,0,1.069248527288437,45,70
A,"(512, 256)",2,0.0,0.001,0.0,0,1.069248527288437,45,70
A,"(256, 128)",2,0.0,0.001,1e-05,0,1.073366180062294,82,107
A,"(256, 128)",2,0.0,0.001,0.0,0,1.073366180062294,82,107
A,"(256, 128)",2,0.0,0.001,0.001,0,1.0745525509119034,82,107
A,"(256, 128)",2,0.0,0.001,0.0001,0,1.0753401964902878,82,107
A,"(256, 128)",2,0.1,0.003,0.0001,0,1.0758319050073624,62,87
A,"(512, 256)",2,0.0,0.0003,0.0,0,1.0761061012744904,116,141
A,"(512, 256)",2,0.0,0.0003,1e-05,0,1.0761061012744904,116,141
A,"(512, 512)",2,0.0,0.003,0.0,0,1.0763439685106277,34,59
A,"(512, 256)",2,0.0,0.0003,0.001,0,1.0766072571277618,116,141
A,"(256, 256)",2,0.1,0.003,0.0001,0,1.0770420134067535,47,72
A,"(512, 256)",2,0.0,0.0003,0.0001,0,1.077047049999237,116,141
A,"(256, 256)",2,0.2,0.001,0.0,0,1.0774656981229782,71,96
A,"(256, 256)",2,0.2,0.001,1e-05,0,1.0774656981229782,71,96
A,"(512, 256)",2,0.2,0.001,0.001,0,1.0780078917741776,75,100
A,"(512, 512)",2,0.1,0.0003,0.0001,0,1.0780136436223984,126,151
A,"(512, 512)",2,0.1,0.003,1e-05,0,1.0780280083417892,29,54
A,"(256, 128)",2,0.1,0.003,1e-05,0,1.0785161852836609,62,87
A,"(512, 512)",2,0.0,0.003,1e-05,0,1.0785175412893295,34,59
A,"(256, 128, 64)",3,0.1,0.003,0.001,0,1.0786168426275253,70,95
A,"(512, 256)",2,0.2,0.001,0.0,0,1.078782558441162,75,100
A,"(512, 256)",2,0.2,0.001,1e-05,0,1.078782558441162,75,100
A,"(256, 128)",2,0.1,0.003,0.001,0,1.0788506418466568,62,87
A,"(256, 128)",2,0.1,0.003,0.0,0,1.0790015161037445,62,87
A,"(512, 512)",2,0.0,0.003,0.0001,0,1.0791243314743042,34,59
A,"(512, 256)",2,0.1,0.001,0.0,0,1.0791306793689728,54,79
A,"(512, 256)",2,0.1,0.001,1e-05,0,1.0791306793689728,54,79
A,"(512, 256)",2,0.1,0.001,0.001,0,1.079286277294159,54,79
A,"(512, 512)",2,0.1,0.0003,0.001,0,1.07947239279747,126,151
A,"(512, 512)",2,0.1,0.003,0.0,0,1.079575002193451,29,54
A,"(512, 256)",2,0.2,0.001,0.0001,0,1.0796396434307098,75,100
A,"(512, 256)",2,0.1,0.001,0.0001,0,1.0801218748092651,54,79
A,"(512, 256, 128)",3,0.0,0.001,0.001,0,1.0801730901002884,32,57
A,"(256, 256)",2,0.1,0.001,1e-05,0,1.080192118883133,71,96
