encoder_hidden,dropout,lr,weight_decay,depth,mean_best_val_mse,std_best_val_mse,mean_best_epoch,mean_epochs_ran
"(512, 256, 128, 64)",0.1,0.003,0.0001,4,1.0732222944498062,0.011010689825138262,45.666666666666664,70.66666666666667
"(512, 256, 128, 64)",0.1,0.003,1e-05,4,1.0733566681543987,0.010022839698236715,45.666666666666664,70.66666666666667
"(512, 256, 128, 64)",0.1,0.003,0.0,4,1.0749084254105885,0.00972523467386252,45.666666666666664,70.66666666666667
"(512, 256, 128, 64)",0.1,0.003,0.001,4,1.075198362270991,0.014381139258445242,45.666666666666664,70.66666666666667
"(512, 256, 128)",0.1,0.001,1e-05,3,1.0767974257469177,0.013891485832987703,77.0,102.0
"(512, 256, 128)",0.1,0.001,0.0,3,1.0767974257469177,0.013891485832987703,77.0,102.0
"(512, 256, 128)",0.1,0.001,0.0001,3,1.0774057358503342,0.012433624373996673,74.0,99.0
"(512, 256, 128)",0.1,0.001,0.001,3,1.08045590420564,0.011057724616520968,77.0,102.0
"(512, 256)",0.0,0.001,0.0001,2,1.0915387719869614,0.02199537902781726,56.333333333333336,81.33333333333333
"(512, 256)",0.0,0.001,0.001,2,1.092689906557401,0.022132919523887504,56.333333333333336,81.33333333333333
