stage,encoder_hidden,depth,dropout,lr,weight_decay,seed,best_val_mse,best_epoch,epochs_ran
B,"(512, 256, 128, 64)",4,0.1,0.003,0.001,0,1.062353789806366,28,53
B,"(512, 256, 128, 64)",4,0.1,0.003,0.001,1,1.0907354652881622,60,85
B,"(512, 256, 128, 64)",4,0.1,0.003,0.001,2,1.0725058317184448,49,74
B,"(512, 256, 128, 64)",4,0.1,0.003,0.0001,0,1.0631993561983109,28,53
B,"(512, 256, 128, 64)",4,0.1,0.003,0.0001,1,1.0850080400705338,60,85
B,"(512, 256, 128, 64)",4,0.1,0.003,0.0001,2,1.071459487080574,49,74
B,"(512, 256, 128, 64)",4,0.1,0.003,0.0,0,1.0650895684957504,28,53
B,"(512, 256, 128, 64)",4,0.1,0.003,0.0,1,1.0845372527837753,60,85
B,"(512, 256, 128, 64)",4,0.1,0.003,0.0,2,1.07509845495224,49,74
B,"(512, 256, 128)",3,0.1,0.001,0.0,0,1.0652503073215485,77,102
B,"(512, 256, 128)",3,0.1,0.001,0.0,1,1.0922131538391113,81,106
B,"(512, 256, 128)",3,0.1,0.001,0.0,2,1.0729288160800934,73,98
B,"(512, 256, 128)",3,0.1,0.001,1e-05,0,1.0652503073215485,77,102
B,"(512, 256, 128)",3,0.1,0.001,1e-05,1,1.0922131538391113,81,106
B,"(512, 256, 128)",3,0.1,0.001,1e-05,2,1.0729288160800934,73,98
B,"(512, 256, 128, 64)",4,0.1,0.003,1e-05,0,1.0657122433185577,28,53
B,"(512, 256, 128, 64)",4,0.1,0.003,1e-05,1,1.0847041308879852,60,85
B,"(512, 256, 128, 64)",4,0.1,0.003,1e-05,2,1.0696536302566528,49,74
B,"(512, 256, 128)",3,0.1,0.001,0.0001,0,1.0671014785766602,68,93
B,"(512, 256, 128)",3,0.1,0.001,0.0001,1,1.0912159085273743,81,106
B,"(512, 256, 128)",3,0.1,0.001,0.0001,2,1.073899820446968,73,98
B,"(512, 256, 128)",3,0.1,0.001,0.001,0,1.068391814827919,77,102
B,"(512, 256, 128)",3,0.1,0.001,0.001,1,1.0901096314191818,81,106
B,"(512, 256, 128)",3,0.1,0.001,0.001,2,1.0828662663698196,73,98
B,"(512, 256)",2,0.0,0.001,0.0001,0,1.068654552102089,45,70
B,"(512, 256)",2,0.0,0.001,0.0001,1,1.1125219017267227,73,98
B,"(512, 256)",2,0.0,0.001,0.0001,2,1.0934398621320724,51,76
B,"(512, 256)",2,0.0,0.001,0.001,0,1.068901613354683,45,70
B,"(512, 256)",2,0.0,0.001,0.001,1,1.1126744151115417,73,98
B,"(512, 256)",2,0.0,0.001,0.001,2,1.0964936912059784,51,76
