run_name,tau_start,lambda_balance,entropy_weight,seed,best_epoch,best_val_mse,best_val_mae,final_val_mse,final_val_mae,best_checkpoint_path,total_time_sec
tau2p5_lb1_ent0p01,2.5,1.0,0.01,65,48,1.0153497309772515,0.7384028933530936,2.3443734441066812,1.342608343311614,c:\Users\Lenovo\Desktop\deep_learning\Project\RateAhead\notebooks\artifacts\hme_3x5\results\grid_checkpoints\tau2p5_lb1_ent0p01_best.pt,21.893024682998657
tau2p5_lb0p5_ent0,2.5,0.5,0.0,58,31,1.0260874386945384,0.7309706906599501,1.5723104643675447,1.030894364023501,c:\Users\Lenovo\Desktop\deep_learning\Project\RateAhead\notebooks\artifacts\hme_3x5\results\grid_checkpoints\tau2p5_lb0p5_ent0_best.pt,25.48164653778076
tau2p5_lb1_ent0p05,2.5,1.0,0.05,66,61,1.0261038180509228,0.7356174166948517,1.9840499915959644,1.1754597505908801,c:\Users\Lenovo\Desktop\deep_learning\Project\RateAhead\notebooks\artifacts\hme_3x5\results\grid_checkpoints\tau2p5_lb1_ent0p05_best.pt,20.95138955116272
tau2_lb0p7_ent0p01,2.0,0.7,0.01,50,41,1.0265594919766385,0.7205819632378092,2.147493133369399,1.2553928955932336,c:\Users\Lenovo\Desktop\deep_learning\Project\RateAhead\notebooks\artifacts\hme_3x5\results\grid_checkpoints\tau2_lb0p7_ent0p01_best.pt,20.096669912338257
tau5_lb0p5_ent0p01,5.0,0.5,0.01,71,31,1.0326705088644672,0.7397326990139265,1.727716162745938,1.0925144932752737,c:\Users\Lenovo\Desktop\deep_learning\Project\RateAhead\notebooks\artifacts\hme_3x5\results\grid_checkpoints\tau5_lb0p5_ent0p01_best.pt,20.255632400512695
tau2p5_lb0p1_ent0,2.5,0.1,0.0,55,47,1.0328896810672035,0.7269156737561606,2.553550521288913,1.3822899853524986,c:\Users\Lenovo\Desktop\deep_learning\Project\RateAhead\notebooks\artifacts\hme_3x5\results\grid_checkpoints\tau2p5_lb0p1_ent0_best.pt,20.034305810928345
tau2p5_lb0p7_ent0p05,2.5,0.7,0.05,63,37,1.0358390477537378,0.7378030521006672,2.228719368449018,1.289557138103649,c:\Users\Lenovo\Desktop\deep_learning\Project\RateAhead\notebooks\artifacts\hme_3x5\results\grid_checkpoints\tau2p5_lb0p7_ent0p05_best.pt,19.731927633285522
tau2_lb1_ent0,2.0,1.0,0.0,52,51,1.0466534510711951,0.7454761630918351,2.2249065238273946,1.2859456802438374,c:\Users\Lenovo\Desktop\deep_learning\Project\RateAhead\notebooks\artifacts\hme_3x5\results\grid_checkpoints\tau2_lb1_ent0_best.pt,24.86476707458496
tau5_lb1_ent0p01,5.0,1.0,0.01,77,40,1.0534311685094073,0.743642355986168,3.359765172736045,1.6129915295934385,c:\Users\Lenovo\Desktop\deep_learning\Project\RateAhead\notebooks\artifacts\hme_3x5\results\grid_checkpoints\tau5_lb1_ent0p01_best.pt,25.150124549865723
tau2_lb0p7_ent0,2.0,0.7,0.0,49,31,1.055225192988577,0.7568481999672264,3.301559513185653,1.6094113562004697,c:\Users\Lenovo\Desktop\deep_learning\Project\RateAhead\notebooks\artifacts\hme_3x5\results\grid_checkpoints\tau2_lb0p7_ent0_best.pt,21.68812370300293
tau2_lb0p5_ent0,2.0,0.5,0.0,46,35,1.0554335892566142,0.7549343738819193,2.6694236272683174,1.4373353576367618,c:\Users\Lenovo\Desktop\deep_learning\Project\RateAhead\notebooks\artifacts\hme_3x5\results\grid_checkpoints\tau2_lb0p5_ent0_best.pt,20.31708288192749
tau2_lb1_ent0p01,2.0,1.0,0.01,53,31,1.0580933484563066,0.7457733212804502,2.7733849101271364,1.4707007747486325,c:\Users\Lenovo\Desktop\deep_learning\Project\RateAhead\notebooks\artifacts\hme_3x5\results\grid_checkpoints\tau2_lb1_ent0p01_best.pt,25.067861557006836
tau2p5_lb0p5_ent0p01,2.5,0.5,0.01,59,54,1.0589927528533467,0.752950248981546,2.8426620509726868,1.4853100260342558,c:\Users\Lenovo\Desktop\deep_learning\Project\RateAhead\notebooks\artifacts\hme_3x5\results\grid_checkpoints\tau2p5_lb0p5_ent0p01_best.pt,21.010292530059814
tau5_lb0p1_ent0p05,5.0,0.1,0.05,69,70,1.0606687775418802,0.750557484948562,2.794384110632118,1.466917503392038,c:\Users\Lenovo\Desktop\deep_learning\Project\RateAhead\notebooks\artifacts\hme_3x5\results\grid_checkpoints\tau5_lb0p1_ent0p05_best.pt,20.69721269607544
tau5_lb1_ent0p05,5.0,1.0,0.05,78,35,1.0608635990166226,0.754847122262592,3.174878299163163,1.593913087961864,c:\Users\Lenovo\Desktop\deep_learning\Project\RateAhead\notebooks\artifacts\hme_3x5\results\grid_checkpoints\tau5_lb1_ent0p05_best.pt,23.774264574050903
tau2_lb0p5_ent0p05,2.0,0.5,0.05,48,32,1.0609245244710723,0.7604697675061373,2.8436633191957066,1.4925729769139202,c:\Users\Lenovo\Desktop\deep_learning\Project\RateAhead\notebooks\artifacts\hme_3x5\results\grid_checkpoints\tau2_lb0p5_ent0p05_best.pt,25.194498777389526
tau2p5_lb0p5_ent0p05,2.5,0.5,0.05,60,39,1.0631575977875412,0.7520672431752725,1.834778577418415,1.139611337667594,c:\Users\Lenovo\Desktop\deep_learning\Project\RateAhead\notebooks\artifacts\hme_3x5\results\grid_checkpoints\tau2p5_lb0p5_ent0p05_best.pt,21.19321036338806
tau5_lb0p7_ent0p05,5.0,0.7,0.05,75,55,1.0661039094983435,0.7594339230309235,3.5025629224952746,1.6820265786048094,c:\Users\Lenovo\Desktop\deep_learning\Project\RateAhead\notebooks\artifacts\hme_3x5\results\grid_checkpoints\tau5_lb0p7_ent0p05_best.pt,19.342088222503662
tau2p5_lb0p1_ent0p01,2.5,0.1,0.01,56,30,1.0663335493005859,0.7417198415182851,2.759186351811228,1.4628112479952946,c:\Users\Lenovo\Desktop\deep_learning\Project\RateAhead\notebooks\artifacts\hme_3x5\results\grid_checkpoints\tau2p5_lb0p1_ent0p01_best.pt,22.047068119049072
tau2p5_lb0p7_ent0,2.5,0.7,0.0,61,45,1.0677954467527706,0.7568257337698907,4.158469754201503,1.8592971588204974,c:\Users\Lenovo\Desktop\deep_learning\Project\RateAhead\notebooks\artifacts\hme_3x5\results\grid_checkpoints\tau2p5_lb0p7_ent0_best.pt,22.280035734176636
tau2_lb0p1_ent0,2.0,0.1,0.0,43,44,1.0743069790623672,0.7586518726465892,3.8558669804064043,1.7849693051145121,c:\Users\Lenovo\Desktop\deep_learning\Project\RateAhead\notebooks\artifacts\hme_3x5\results\grid_checkpoints\tau2_lb0p1_ent0_best.pt,22.637409448623657
tau5_lb1_ent0,5.0,1.0,0.0,76,42,1.078050501068677,0.7579248288657767,3.421191776018201,1.653607232439006,c:\Users\Lenovo\Desktop\deep_learning\Project\RateAhead\notebooks\artifacts\hme_3x5\results\grid_checkpoints\tau5_lb1_ent0_best.pt,19.228111028671265
tau5_lb0p5_ent0p05,5.0,0.5,0.05,72,34,1.0827388305605554,0.772174531111688,2.452422593122611,1.35161585851681,c:\Users\Lenovo\Desktop\deep_learning\Project\RateAhead\notebooks\artifacts\hme_3x5\results\grid_checkpoints\tau5_lb0p5_ent0p05_best.pt,19.246880531311035
tau2p5_lb1_ent0,2.5,1.0,0.0,64,27,1.082837231027568,0.7612212657928467,3.476704474022052,1.6858216548989886,c:\Users\Lenovo\Desktop\deep_learning\Project\RateAhead\notebooks\artifacts\hme_3x5\results\grid_checkpoints\tau2p5_lb1_ent0_best.pt,21.321040391921997
tau2p5_lb0p7_ent0p01,2.5,0.7,0.01,62,34,1.0872467437404796,0.7619473120186226,4.459069064789754,1.9377257598689728,c:\Users\Lenovo\Desktop\deep_learning\Project\RateAhead\notebooks\artifacts\hme_3x5\results\grid_checkpoints\tau2p5_lb0p7_ent0p01_best.pt,19.181424617767334
tau5_lb0p1_ent0,5.0,0.1,0.0,67,25,1.0917699582737648,0.7680029053629541,3.7427075590824055,1.7532959152584426,c:\Users\Lenovo\Desktop\deep_learning\Project\RateAhead\notebooks\artifacts\hme_3x5\results\grid_checkpoints\tau5_lb0p1_ent0_best.pt,21.20964503288269
tau2_lb1_ent0p05,2.0,1.0,0.05,54,27,1.091867549287761,0.7648479939969771,3.2291133582226337,1.6157057697787607,c:\Users\Lenovo\Desktop\deep_learning\Project\RateAhead\notebooks\artifacts\hme_3x5\results\grid_checkpoints\tau2_lb1_ent0p05_best.pt,20.465291261672974
tau2_lb0p5_ent0p01,2.0,0.5,0.01,47,32,1.0941884159310464,0.7700750305608738,4.220409010670668,1.8768302063269118,c:\Users\Lenovo\Desktop\deep_learning\Project\RateAhead\notebooks\artifacts\hme_3x5\results\grid_checkpoints\tau2_lb0p5_ent0p01_best.pt,23.45117497444153
tau2_lb0p1_ent0p01,2.0,0.1,0.01,44,45,1.098701430829756,0.7841068389956937,2.6829175954947444,1.4357624568822194,c:\Users\Lenovo\Desktop\deep_learning\Project\RateAhead\notebooks\artifacts\hme_3x5\results\grid_checkpoints\tau2_lb0p1_ent0p01_best.pt,21.542540073394775
tau5_lb0p1_ent0p01,5.0,0.1,0.01,68,25,1.1107381320438503,0.7734058315768564,2.889241397015156,1.5035571073461895,c:\Users\Lenovo\Desktop\deep_learning\Project\RateAhead\notebooks\artifacts\hme_3x5\results\grid_checkpoints\tau5_lb0p1_ent0p01_best.pt,20.221954345703125
tau2_lb0p7_ent0p05,2.0,0.7,0.05,51,37,1.1235453785562808,0.8014128615519752,2.7421107537907323,1.4701112339101685,c:\Users\Lenovo\Desktop\deep_learning\Project\RateAhead\notebooks\artifacts\hme_3x5\results\grid_checkpoints\tau2_lb0p7_ent0p05_best.pt,21.09600043296814
tau5_lb0p7_ent0,5.0,0.7,0.0,73,34,1.126443455994495,0.7945270272120376,3.180090277034081,1.6034704073806483,c:\Users\Lenovo\Desktop\deep_learning\Project\RateAhead\notebooks\artifacts\hme_3x5\results\grid_checkpoints\tau5_lb0p7_ent0_best.pt,20.268138885498047
tau5_lb0p5_ent0,5.0,0.5,0.0,70,33,1.1300643370926746,0.7864575002822408,2.8345036427667534,1.4859819170887485,c:\Users\Lenovo\Desktop\deep_learning\Project\RateAhead\notebooks\artifacts\hme_3x5\results\grid_checkpoints\tau5_lb0p5_ent0_best.pt,19.681604623794556
tau2_lb0p1_ent0p05,2.0,0.1,0.05,45,30,1.1429527058923172,0.8016551275926134,3.226892437379053,1.603572945068219,c:\Users\Lenovo\Desktop\deep_learning\Project\RateAhead\notebooks\artifacts\hme_3x5\results\grid_checkpoints\tau2_lb0p1_ent0p05_best.pt,21.367888689041138
tau2p5_lb0p1_ent0p05,2.5,0.1,0.05,57,41,1.1931419142916158,0.8342512731171824,3.339226123599187,1.6303187260598493,c:\Users\Lenovo\Desktop\deep_learning\Project\RateAhead\notebooks\artifacts\hme_3x5\results\grid_checkpoints\tau2p5_lb0p1_ent0p05_best.pt,24.21358609199524
tau5_lb0p7_ent0p01,5.0,0.7,0.01,74,23,1.2247635564921093,0.8349009586989514,3.011228722882417,1.5314864013823994,c:\Users\Lenovo\Desktop\deep_learning\Project\RateAhead\notebooks\artifacts\hme_3x5\results\grid_checkpoints\tau5_lb0p7_ent0p01_best.pt,20.421332359313965
