expert,branch,leaf,budget_mean,budget_std,votes_mean,votes_std
0,0,0,31986915.65759189,37692941.42991552,99296.87744331076,177011.06468985145
1,0,1,4950367.212484194,7105529.204157602,14002.501793179154,23879.487880297806
2,0,2,22239685.79699059,29447281.10209276,68793.81924253581,132797.9238886606
3,0,3,4128676.8848429797,6298470.052675853,13107.565728377822,22494.780432749794
4,0,4,10026395.410488833,14680791.621070296,31135.85724500796,60551.856375206116
5,1,0,7873869.558505947,10039099.19104511,17600.46287165014,31713.109365046115
6,1,1,38588718.09470513,42611986.70783752,117795.51551252606,200012.0097969515
7,1,2,22967873.128666896,28751330.90204484,65346.89398230051,124399.41619521531
8,1,3,39227933.01151932,43234062.232078545,121205.33874339893,206028.4892538322
9,1,4,47376669.77754711,47732743.07546383,143718.2759791195,225728.73985401803
10,2,0,13603767.220876103,19004603.75974926,39820.75436350923,80072.29339286522
11,2,1,38128120.39428607,42471730.44014695,119809.83951621129,206179.79170420993
12,2,2,11685311.781817203,16265249.615423156,32801.637288438906,64509.95709653951
13,2,3,28296355.02642116,35117694.567762844,89596.02073200354,169498.0288584588
14,2,4,29368489.39593304,36102209.855638586,93105.65341521394,174341.34627204883
