method,year,mse,mae,rmse,n,epochs,data_frac,lr,wall_time_s
zero_shot,2005,0.804949939250946,0.6482445001602173,0.8971900240478301,170,,,,
zero_shot,2006,0.7065529227256775,0.5949195623397827,0.8405670245290838,163,,,,
zero_shot,2007,0.7896506786346436,0.6042723655700684,0.8886229113829125,157,,,,
zero_shot,2008,1.0303112268447876,0.6466102600097656,1.0150424753894725,171,,,,
zero_shot,2009,1.4289354085922241,0.7998847365379333,1.1953808634038878,171,,,,
zero_shot,2010,1.5483667850494385,0.8258496522903442,1.2443338720172485,164,,,,
zero_shot,2011,1.1906150579452515,0.7992452383041382,1.0911530863931291,160,,,,
zero_shot,2012,1.9160244464874268,0.9717009663581848,1.384205348381311,162,,,,
zero_shot,2013,1.612304449081421,0.9608210325241089,1.2697655094864646,161,,,,
zero_shot,2014,2.2336971759796143,1.0236235857009888,1.494555845721268,163,,,,
zero_shot,2015,2.451418399810791,1.1548922061920166,1.5657006098902788,156,,,,
zero_shot,2016,2.0497283935546875,1.133652687072754,1.4316872541007997,159,,,,
zero_shot,2017,1.4927395582199097,1.0103652477264404,1.221777213005673,133,,,,
zero_shot,2018,2.2469353675842285,1.1837081909179688,1.498978107773502,143,,,,
zero_shot,2019,3.4299635887145996,1.3504582643508911,1.8520160875960554,114,,,,
zero_shot,post_2005_plus,1.6797513961791992,0.9193591475486755,1.2960522351275812,2185,,,,
gradual_unfreeze,2005,1.2462689876556396,0.8132317066192627,1.1163641823596993,170,256.0,0.2,0.0005,5.327676200016867
gradual_unfreeze,2006,0.8566620349884033,0.6866302490234375,0.9255603897036667,163,256.0,0.2,0.0005,5.327676200016867
gradual_unfreeze,2007,1.1353058815002441,0.7686381340026855,1.0655073352634623,157,256.0,0.2,0.0005,5.327676200016867
gradual_unfreeze,2008,1.0365614891052246,0.7443339228630066,1.0181166382616604,171,256.0,0.2,0.0005,5.327676200016867
gradual_unfreeze,2009,1.1422163248062134,0.7614107131958008,1.068745210424923,171,256.0,0.2,0.0005,5.327676200016867
gradual_unfreeze,2010,1.1131763458251953,0.7449222207069397,1.0550717254410693,164,256.0,0.2,0.0005,5.327676200016867
gradual_unfreeze,2011,0.8396813273429871,0.7101567387580872,0.916341272312334,160,256.0,0.2,0.0005,5.327676200016867
gradual_unfreeze,2012,1.1616109609603882,0.751180112361908,1.077780571805035,162,256.0,0.2,0.0005,5.327676200016867
gradual_unfreeze,2013,0.6477751135826111,0.6266707181930542,0.8048447760795936,161,256.0,0.2,0.0005,5.327676200016867
gradual_unfreeze,2014,1.2721712589263916,0.7993930578231812,1.1279056959366733,163,256.0,0.2,0.0005,5.327676200016867
gradual_unfreeze,2015,1.219146490097046,0.7966537475585938,1.104149668340776,156,256.0,0.2,0.0005,5.327676200016867
gradual_unfreeze,2016,0.680901288986206,0.6031323671340942,0.8251674308806705,159,256.0,0.2,0.0005,5.327676200016867
gradual_unfreeze,2017,0.6688144207000732,0.6248365044593811,0.8178107487066144,133,256.0,0.2,0.0005,5.327676200016867
gradual_unfreeze,2018,0.8563197255134583,0.718500018119812,0.9253754511080668,143,256.0,0.2,0.0005,5.327676200016867
gradual_unfreeze,2019,1.693528413772583,0.8385682106018066,1.3013563746232555,114,256.0,0.2,0.0005,5.327676200016867
gradual_unfreeze,post_2005_plus,1.0176241397857666,0.7267769575119019,1.0087735820221337,2185,256.0,0.2,0.0005,5.327676200016867
