method,year,mse,mae,rmse,n,eval_seed,sample_frac,sample_n,run_id
zero_shot,2005,2.43103289604187,1.3617234230041504,1.5591769931736006,34,0,0.2,,a28aca0642ce
zero_shot,2006,3.476470708847046,1.6495637893676758,1.864529621338059,33,0,0.2,,a28aca0642ce
zero_shot,2007,3.375657558441162,1.6966867446899414,1.837296263110869,31,0,0.2,,a28aca0642ce
zero_shot,2008,4.724849224090576,2.013133764266968,2.173671829897645,34,0,0.2,,a28aca0642ce
zero_shot,2009,6.296209335327148,2.236351728439331,2.5092248475031385,34,0,0.2,,a28aca0642ce
zero_shot,2010,5.6624755859375,2.2171623706817627,2.3795956769874795,33,0,0.2,,a28aca0642ce
zero_shot,2011,7.73784875869751,2.66552734375,2.781698897921468,32,0,0.2,,a28aca0642ce
zero_shot,2012,8.48168659210205,2.6894471645355225,2.9123335303673668,32,0,0.2,,a28aca0642ce
zero_shot,2013,8.07872200012207,2.7662904262542725,2.842309272426572,32,0,0.2,,a28aca0642ce
zero_shot,2014,9.463868141174316,2.8673038482666016,3.0763400561664693,33,0,0.2,,a28aca0642ce
zero_shot,2015,11.03349494934082,3.1261415481567383,3.3216705058360048,31,0,0.2,,a28aca0642ce
zero_shot,2016,12.61188793182373,3.4769127368927,3.551321997766991,32,0,0.2,,a28aca0642ce
zero_shot,2017,12.203588485717772,3.3971450328826904,3.49336349178235,27,0,0.2,,a28aca0642ce
zero_shot,2018,10.798367500305176,3.204991340637207,3.286086958725404,29,0,0.2,,a28aca0642ce
zero_shot,2019,14.01045036315918,3.6467249393463135,3.743053614785551,23,0,0.2,,a28aca0642ce
zero_shot,post_2005_plus,8.200380325317383,2.630134105682373,2.863630619566249,437,0,0.2,,a28aca0642ce
zero_shot,2005,2.65850043296814,1.3524192571640017,1.6304908564503329,34,1,0.2,,5563bba0f819
zero_shot,2006,2.196911334991455,1.335854411125183,1.4821981429591171,33,1,0.2,,5563bba0f819
zero_shot,2007,2.935181140899658,1.5739502906799316,1.7132370358183535,31,1,0.2,,5563bba0f819
zero_shot,2008,4.791845798492432,1.9115625619888303,2.1890285056372454,34,1,0.2,,5563bba0f819
zero_shot,2009,5.165778160095215,2.01222825050354,2.272834829039544,34,1,0.2,,5563bba0f819
zero_shot,2010,6.650266170501709,2.407723188400269,2.578810999375819,33,1,0.2,,5563bba0f819
zero_shot,2011,7.684025764465332,2.632774829864502,2.772007533262731,32,1,0.2,,5563bba0f819
zero_shot,2012,10.092552185058594,2.8619284629821777,3.1768777415976515,32,1,0.2,,5563bba0f819
zero_shot,2013,7.739653587341309,2.6473097801208496,2.782023290222659,32,1,0.2,,5563bba0f819
zero_shot,2014,8.658581733703613,2.7326626777648926,2.942546810792245,33,1,0.2,,5563bba0f819
zero_shot,2015,8.910316467285156,2.880612850189209,2.985015321113973,31,1,0.2,,5563bba0f819
zero_shot,2016,11.142440795898438,3.232775449752808,3.3380294779852435,32,1,0.2,,5563bba0f819
zero_shot,2017,10.132317543029783,3.109381675720215,3.1831301486162618,27,1,0.2,,5563bba0f819
zero_shot,2018,11.512784957885742,3.331524610519409,3.3930495071374573,29,1,0.2,,5563bba0f819
