method,year,mse,mae,rmse,n
zero_shot,2005,0.804949939250946,0.6482445001602173,0.8971900240478301,170
zero_shot,2006,0.7065529227256775,0.5949195623397827,0.8405670245290838,163
zero_shot,2007,0.7896506786346436,0.6042723655700684,0.8886229113829125,157
zero_shot,2008,1.0303112268447876,0.6466102600097656,1.0150424753894725,171
zero_shot,2009,1.4289354085922241,0.7998847365379333,1.1953808634038878,171
zero_shot,2010,1.5483667850494385,0.8258496522903442,1.2443338720172485,164
zero_shot,2011,1.1906150579452515,0.7992452383041382,1.0911530863931291,160
zero_shot,2012,1.9160244464874268,0.9717009663581848,1.384205348381311,162
zero_shot,2013,1.612304449081421,0.9608210325241089,1.2697655094864646,161
zero_shot,2014,2.2336971759796143,1.0236235857009888,1.494555845721268,163
zero_shot,2015,2.451418399810791,1.1548922061920166,1.5657006098902788,156
zero_shot,2016,2.0497283935546875,1.133652687072754,1.4316872541007997,159
zero_shot,2017,1.4927395582199097,1.0103652477264404,1.221777213005673,133
zero_shot,2018,2.2469353675842285,1.1837081909179688,1.498978107773502,143
zero_shot,2019,3.4299635887145996,1.3504582643508911,1.8520160875960554,114
zero_shot,post_2005_plus,1.6797513961791992,0.9193591475486755,1.2960522351275812,2185
